INFO 2023-04-10 02:32:25,682 "GET /static/admin/css/base.css HTTP/1.1" 200 20344
INFO 2023-04-10 02:32:25,702 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2619
INFO 2023-04-10 02:32:25,743 "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
INFO 2023-04-10 02:32:25,798 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2023-04-10 02:32:25,848 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2023-04-10 02:32:25,881 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 86184
INFO 2023-04-10 02:32:25,913 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 85876
INFO 2023-04-10 02:32:25,942 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 85692
INFO 2023-04-10 15:10:39,596 Watching for file changes with StatReloader
INFO 2023-04-10 15:12:00,340 Watching for file changes with StatReloader
INFO 2023-04-11 05:35:37,708 Watching for file changes with StatReloader
INFO 2023-04-11 05:36:52,262 C:\Users\rakib\OneDrive\Desktop\ManasAcademy\Manas_Academy\school_app\settings.py changed, reloading.
INFO 2023-04-11 05:36:53,668 Watching for file changes with StatReloader
INFO 2023-04-11 05:36:56,230 C:\Users\rakib\OneDrive\Desktop\ManasAcademy\Manas_Academy\school_app\settings.py changed, reloading.
INFO 2023-04-11 05:36:58,006 Watching for file changes with StatReloader
INFO 2023-04-11 05:37:28,776 "GET / HTTP/1.1" 200 23861
INFO 2023-04-11 05:37:28,865 "GET /static/wb_css/style.css HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,914 "GET /static/wb_js/app.js HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,922 "GET /static/wb_assets/icon/manas_logo.png HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,924 "GET /static/wb_assets/icon/play_icon.svg HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,932 "GET /static/wb_assets/image/1.jpg HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,946 "GET /static/wb_assets/image/2.jpg HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,946 "GET /static/wb_assets/icon/pdf_icon.svg HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,949 "GET /static/wb_assets/image/3.jpg HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,955 "GET /static/wb_assets/image/4.jpg HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,955 "GET /static/wb_assets/icon/download.svg HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,956 "GET /static/wb_assets/image/5.jpg HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,957 "GET /static/wb_assets/icon/pause_icon.svg HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,968 "GET /static/wb_assets/image/6.jpg HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,969 "GET /static/wb_assets/image/7.jpg HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,973 "GET /static/wb_assets/image/8.jpg HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,974 "GET /static/wb_assets/image/hostel.jpg HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,988 "GET /static/wb_assets/image/cultural.jpg HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,993 "GET /static/wb_assets/image/sports.jpg HTTP/1.1" 304 0
INFO 2023-04-11 05:37:28,996 "GET /static/wb_assets/image/school_bus.jpg HTTP/1.1" 304 0
INFO 2023-04-11 05:37:29,000 "GET /static/wb_assets/icon/facebook.png HTTP/1.1" 304 0
INFO 2023-04-11 05:37:29,005 "GET /static/wb_assets/icon/twitter.png HTTP/1.1" 304 0
INFO 2023-04-11 05:37:29,010 "GET /static/wb_assets/icon/linkedin.png HTTP/1.1" 304 0
INFO 2023-04-11 05:37:29,013 "GET /static/wb_assets/icon/instagram.png HTTP/1.1" 304 0
INFO 2023-04-11 05:37:29,140 "GET /static/wb_assets/video/about.mp4 HTTP/1.1" 304 0
